Model,Price,Spec
"realme Narzo 50A Prime (Flash Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme Narzo 20 Pro (White Knight, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme 9 5G (Supersonic Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 8s 5G (Universe Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C53 (Gold, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme 7i (Fusion Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 7i (Fusion Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 7i (Fusion Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Dash Yellow, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme GT Neo 3T (Drifting White, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 30A (Laser Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Sprint White, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme 7 (Mist Blue, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet White, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C30s (Night Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 30A (Laser Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Asphalt Black, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme X7 5G (Nebula, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme GT Neo 3 (Asphalt Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme 8s 5G (Universe Purple, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 3i (Diamond Red, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 3i (Diamond Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Nitro Blue, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme 2 (Diamond Black, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
